,no_bab,nama_bab,no_bagian,nama_bagian,no_paragraf,nama_paragraf,no_pasal,no_ayat,isi_ayat,pasal_ayat,penjelasan_pasal,no_ayat_y,penjelasan,nomor_uu,tahun_uu
57,XI,SANKSI ADMINISTRATIF,,,,,33,3," Ketentuan lebih lanjut mengenai tata laksana dan penerapan sanksi
administratif sebagaimana dimaksud pada ayat (1) diatur dalam
Peraturan Otoritas Jasa Keuangan.",33-3,Cukup jelas.,,,1,2013
58,XII,KETENTUAN PIDANA,,,,,34,1," Setiap orang yang menjalankan usaha LKM tanpa izin sebagaimana
dimaksud dalam Pasal 9 ayat (1), dipidana dengan pidana penjara
paling singkat 1 (satu) tahun dan paling lama 3 (tiga) tahun serta
pidana denda paling sedikit Rp50.000.000,00 (lima puluh juta rupiah)
dan paling banyak Rp1.000.000.000,00 (satu miliar rupiah).",34-1,Cukup jelas.,,,1,2013
59,XII,KETENTUAN PIDANA,,,,,34,2," Dalam hal kegiatan sebagaimana dimaksud pada ayat (1) dilakukan
oleh badan hukum yang berbentuk perseroan terbatas atau koperasi,
maka penuntutan terhadap badan-badan dimaksud dilakukan baik
terhadap mereka yang memberi perintah melakukan perbuatan itu
atau yang bertindak sebagai pimpinan dalam perbuatan itu atau
terhadap kedua-duanya.",34-2,Cukup jelas.,,,1,2013
60,XII,KETENTUAN PIDANA,,,,,35,1," Setiap orang yang dengan sengaja memaksa LKM untuk memberikan
informasi Penyimpan dan Simpanan di luar ketentuan sebagaimana
dimaksud dalam Pasal 21 ayat (2), dipidana dengan pidana penjara
paling singkat 1 (satu) tahun dan paling lama 3 (tiga) tahun serta
pidana denda paling sedikit Rp50.000.000,00 (lima puluh juta rupiah)
dan paling banyak Rp1.000.000.000,00 (satu miliar rupiah).",35-1,Cukup jelas.,,,1,2013
61,XII,KETENTUAN PIDANA,,,,,35,2," Anggota dewan komisaris atau pengawas, direksi atau pengurus,
pegawai, dan pihak terafiliasi LKM yang dengan sengaja memberikan
informasi yang wajib dirahasiakan sebagaimana dimaksud dalam
Pasal 21 ayat (1), dipidana dengan pidana penjara paling singkat 1
(satu) tahun dan paling lama 3 (tiga) tahun serta pidana denda paling
sedikit Rp50.000.000,00 (lima puluh juta rupiah) dan paling banyak
Rp1.000.000.000,00 (satu miliar rupiah).",35-2,Cukup jelas.,,,1,2013
62,XII,KETENTUAN PIDANA,,,,,36,,"Anggota direksi atau pengurus, atau pegawai LKM yang dengan sengaja
tidak memberikan informasi yang wajib dipenuhi sebagaimana dimaksud
dalam Pasal 21 ayat (3), dipidana dengan pidana penjara paling singkat 1
(satu) tahun dan paling lama 3 (tiga) tahun serta pidana denda paling
sedikit Rp50.000.000,00 (lima puluh juta rupiah) dan paling banyak
Rp1.000.000.000,00 (satu miliar rupiah).",36-,Cukup jelas.,,Cukup jelas.,1,2013
63,XII,KETENTUAN PIDANA,,,,,37,1," Setiap direksi atau pengurus LKM yang:
a. membuat pencatatan palsu dalam pembukuan atau laporan
keuangan dan/atau tanpa didukung dengan dokumen yang sah;
b. menghilangkan atau tidak memasukkan informasi yang benar
dalam laporan kegiatan usaha, laporan keuangan, atau rekening
LKM; dan
c. mengubah, mengaburkan, menyembunyikan, menghapus,
dan/atau menghilangkan suatu pencatatan dalam pembukuan
atau dalam laporan keuangan, dan dalam dokumen atau laporan
kegiatan usaha
sebagaimana dimaksud dalam Pasal 29 ayat (2) dipidana dengan
pidana penjara paling singkat 1 (satu) tahun dan paling lama 3 (tiga)
tahun serta pidana denda paling sedikit Rp50.000.000,00 (lima puluh
juta rupiah) dan paling banyak Rp1.000.000.000,00 (satu miliar
rupiah).",37-1,Cukup jelas.,,,1,2013
64,XII,KETENTUAN PIDANA,,,,,37,2," Anggota dewan komisaris atau pengawas, direksi atau pengurus,
dan/atau pegawai LKM yang dengan sengaja:
a. meminta atau menerima suatu imbalan, baik berupa uang
maupun barang untuk keuntungan pribadi atau keluarganya:
1. dalam rangka orang lain mendapatkan uang muka atau
fasilitas Pinjaman atau Pembiayaan dari LKM;
2. dalam rangka memberikan persetujuan bagi orang lain untuk
melaksanakan penarikan dana yang melebihi batas Pinjaman
atau Pembiayaan pada LKM;
b. tidak melaksanakan langkah-langkah yang diperlukan untuk
memastikan ketaatan LKM terhadap ketentuan dalam Undang-
Undang ini dan ketentuan peraturan perundang-undangan
lainnya yang berlaku bagi LKM
dipidana dengan pidana penjara paling singkat 1 (satu) tahun dan
paling lama 3 (tiga) tahun serta pidana denda paling sedikit
Rp50.000.000,00 (lima puluh juta rupiah) dan paling banyak
Rp1.000.000.000,00 (satu miliar rupiah).",37-2,Cukup jelas.,,,1,2013
65,XII,KETENTUAN PIDANA,,,,,38,,"Pemegang saham atau pemilik LKM yang dengan sengaja menyuruh dewan
komisaris atau pengawas, direksi atau pengurus, anggota koperasi, atau
pegawai LKM untuk melakukan atau tidak melakukan tindakan yang
mengakibatkan LKM tidak melaksanakan langkah-langkah yang
diperlukan untuk memastikan ketaatan LKM terhadap ketentuan dalam
Undang-Undang ini dan ketentuan peraturan perundang-undangan
lainnya yang berlaku bagi LKM, dipidana dengan pidana penjara paling
singkat 1 (satu) tahun dan paling lama 3 (tiga) tahun serta pidana denda
paling sedikit Rp50.000.000,00 (lima puluh juta rupiah) dan paling banyak
Rp1.000.000.000,00 (satu miliar rupiah).",38-,Cukup jelas.,,Cukup jelas.,1,2013
66,XIII,KETENTUAN PERALIHAN,,,,,39,1," Pada saat Undang-Undang ini mulai berlaku, Bank Desa, Lumbung
Desa, Bank Pasar, Bank Pegawai, Badan Kredit Desa (BKD), Badan
Kredit Kecamatan (BKK), Kredit Usaha Rakyat Kecil (KURK), Lembaga
Perkreditan Kecamatan (LPK), Bank Karya Produksi Desa (BKPD),
Badan Usaha Kredit Pedesaan (BUKP), Baitul Maal wa Tamwil (BMT),
Baitul Tamwil Muhammadiyah (BTM), dan/atau lembaga-lembaga
lainnya yang dipersamakan dengan itu tetap dapat beroperasi sampai
dengan 1 (satu) tahun terhitung sejak Undang-Undang ini berlaku.",39-1,Cukup jelas.,,,1,2013
67,XIII,KETENTUAN PERALIHAN,,,,,39,2," Lembaga-lembaga sebagaimana dimaksud pada ayat (1) wajib
memperoleh izin usaha dari Otoritas Jasa Keuangan paling lama 1
(satu) tahun terhitung sejak Undang-Undang ini berlaku.",39-2,Cukup jelas.,,,1,2013
68,XIII,KETENTUAN PERALIHAN,,,,,39,3," Lembaga Perkreditan Desa dan Lumbung Pitih Nagari serta lembaga
sejenis yang telah ada sebelum Undang-Undang ini berlaku,
dinyatakan diakui keberadaaannya berdasarkan hukum adat dan
tidak tunduk pada Undang-Undang ini.",39-3,Cukup jelas.,,,1,2013
69,XIII,KETENTUAN PERALIHAN,,,,,40,1," Otoritas Jasa Keuangan, kementerian yang menyelenggarakan urusan
koperasi, dan Kementerian Dalam Negeri harus melakukan
inventarisasi LKM yang belum berbadan hukum.",40-1,Cukup jelas.,,,1,2013
70,XIII,KETENTUAN PERALIHAN,,,,,40,2," Inventarisasi LKM sebagaimana dimaksud pada ayat (1) harus
diselesaikan paling lambat 2 (dua) tahun terhitung sejak Undang-
Undang ini berlaku.",40-2,Cukup jelas.,,,1,2013
71,XIII,KETENTUAN PERALIHAN,,,,,40,3," Dalam melakukan inventarisasi LKM sebagaimana dimaksud pada
ayat (1) Otoritas Jasa Keuangan, kementerian yang menyelenggarakan
urusan koperasi, dan Kementerian Dalam Negeri dapat bekerja sama
dengan pihak lain yang memiliki infrastruktur memadai.",40-3,Cukup jelas.,,,1,2013
72,XIV,KETENTUAN PENUTUP,,,,,41,,"Peraturan pelaksanaan dari Undang-Undang ini harus ditetapkan paling
lama 2 (dua) tahun terhitung sejak Undang-Undang ini diundangkan.",41-,Cukup jelas.,,Cukup jelas.,1,2013
73,XIV,KETENTUAN PENUTUP,,,,,42,,"Undang-Undang ini mulai berlaku setelah 2 (dua) tahun terhitung sejak
tanggal diundangkan.
Agar setiap orang mengetahuinya, memerintahkan pengundangan
Undang-Undang ini dengan penempatannya dalam Lembaran Negara
Republik Indonesia.
Disahkan di Jakarta
pada tanggal 8 Januari 2013
PRESIDEN REPUBLIK INDONESIA,
DR. H. SUSILO BAMBANG YUDHOYONO
Diundangkan di Jakarta
pada tanggal 8 Januari 2013
MENTERI HUKUM DAN HAK ASASI MANUSIA
REPUBLIK INDONESIA,
AMIR SYAMSUDIN",42-,Cukup jelas.,,Cukup jelas.,1,2013
0,I,KETENTUAN UMUM,,,,,1,,"Dalam Undang-Undang ini yang dimaksud dengan:
1. Pemerintah pusat, selanjutnya disebut Pemerintah, adalah Presiden
Republik Indonesia yang memegang kekuasaan pemerintahan negara
Republik Indonesia sebagaimana dimaksud dalam Undang-Undang
Dasar Negara Republik Indonesia Tahun 1945.
2. Daerah otonom, selanjutnya disebut daerah, adalah kesatuan
masyarakat hukum yang mempunyai batas-batas wilayah yang
berwenang mengatur dan mengurus urusan pemerintahan dan
kepentingan masyarakat setempat menurut prakarsa sendiri
berdasarkan aspirasi masyarakat dalam sistem Negara Kesatuan
Republik Indonesia.
3. Provinsi Kalimantan Timur adalah provinsi sebagaimana dimaksud
dalam Undang-Undang Nomor 25 Tahun 1956 tentang Pembentukan
Daerah-Daerah Otonom Propinsi Kalimantan Barat, Kalimantan
Selatan dan Kalimantan Timur, yang wilayahnya telah dikurangi
dengan Provinsi Kalimantan Utara berdasarkan Undang-Undang
Nomor 20 Tahun 2012 tentang Pembentukan Provinsi Kalimantan
Utara.
4. Kabupaten Kutai Barat adalah kabupaten sebagaimana dimaksud
dalam Undang-Undang Nomor 47 Tahun 1999 tentang Pembentukan
Kabupaten Nunukan, Kabupaten Malinau, Kabupaten Kutai Barat,
Kabupaten Kutai Timur, dan Kota Bontang sebagaimana telah diubah
dengan Undang-Undang Nomor 7 Tahun 2000 tentang Perubahan
atas Undang-Undang Nomor 47 Tahun 1999 tentang Pembentukan
Kabupaten Nunukan, Kabupaten Malinau, Kabupaten Kutai Barat,
Kabupaten Kutai Timur, dan Kota Bontang, yang merupakan
kabupaten asal Kabupaten Mahakam Ulu.",1-,Cukup jelas.,,Cukup jelas.,2,2013
1,II,"PEMBENTUKAN, CAKUPAN WILAYAH,
BATAS WILAYAH, DAN IBU KOTA",Kesatu,Pembentukan,,,2,,"Dengan Undang-Undang ini dibentuk Kabupaten Mahakam Ulu di wilayah
Provinsi Kalimantan Timur dalam Negara Kesatuan Republik Indonesia.",2-,Cukup jelas.,,Cukup jelas.,2,2013
2,II,"PEMBENTUKAN, CAKUPAN WILAYAH,
BATAS WILAYAH, DAN IBU KOTA",Kedua,Cakupan Wilayah,,,3,1," Kabupaten Mahakam Ulu berasal dari sebagian wilayah Kabupaten
Kutai Barat yang terdiri atas cakupan wilayah:
a. Kecamatan Long Bagun;
b. Kecamatan Long Hubung;
c. Kecamatan Laham;
d. Kecamatan Long Apari; dan
e. Kecamatan Long Pahangai.",3-1,"Ayat (1)
Huruf a
Desa/Kampung yang masuk dalam cakupan Kecamatan
Long Bagun adalah Desa Batoq Kelo, Desa Long Bagun
Ulu, Desa Long Bagun Ilir, Desa Batu Majang, Desa Ujoh
Bilang, Desa Long Melaham, Desa Mamahak Ilir, Desa
Mamahak Ulu, Desa Rukun Damai, Desa Long Hurai,
dan Desa Long Merah.
Huruf b
Desa/Kampung yang masuk dalam cakupan Kecamatan
Long Hubung adalah Desa Long Hubung, Desa Datah
Bilang Ulu, Desa Datah Bilang Ilir, Desa Lutan, Desa
Matalibaq, Desa Wana Pariq, Desa Tri Pariq Makmur,
Desa Sirau, Desa Mamahak Teboq, dan Desa Datah
Bilang Baru.
Huruf c
Desa/Kampung yang masuk dalam cakupan Kecamatan
Laham adalah Desa Long Gelawang, Desa Danum Paroy,
Desa Muara Ratah, Desa Laham, dan Desa Nyaribungan.
Huruf d
Desa/Kampung yang masuk dalam cakupan Kecamatan
Long Apari adalah Desa Long Apari, Desa Naha Tivab,
Desa Noha Silat, Desa Tiong Bu’u, Desa Naha Buan,
Desa Long Kerioq, Desa Tiong Ohang, Desa Long
Penaneh I, Desa Long Penaneh II, dan Desa Long
Penaneh III.
Huruf e
Desa/Kampung yang masuk dalam cakupan Kecamatan
Long Pahangai adalah Desa Delang Krohong, Desa Long
Pakaq, Desa Long Lunuk, Desa Lirung Ubing, Desa
Datah Naha, Desa Long Isun, Desa Naha Aruq, Desa
Long Pahangai I, Desa Long Pahangai II, Desa Liu
Mulang, Desa Long Tuyoq, Desa Long Lunuk Baru, dan
Desa Long Pakaq Baru.
Ayat (2)
Cukup jelas.",1,"Huruf a
Desa/Kampung yang masuk dalam cakupan Kecamatan
Long Bagun adalah Desa Batoq Kelo, Desa Long Bagun
Ulu, Desa Long Bagun Ilir, Desa Batu Majang, Desa Ujoh
Bilang, Desa Long Melaham, Desa Mamahak Ilir, Desa
Mamahak Ulu, Desa Rukun Damai, Desa Long Hurai,
dan Desa Long Merah.
Huruf b
Desa/Kampung yang masuk dalam cakupan Kecamatan
Long Hubung adalah Desa Long Hubung, Desa Datah
Bilang Ulu, Desa Datah Bilang Ilir, Desa Lutan, Desa
Matalibaq, Desa Wana Pariq, Desa Tri Pariq Makmur,
Desa Sirau, Desa Mamahak Teboq, dan Desa Datah
Bilang Baru.
Huruf c
Desa/Kampung yang masuk dalam cakupan Kecamatan
Laham adalah Desa Long Gelawang, Desa Danum Paroy,
Desa Muara Ratah, Desa Laham, dan Desa Nyaribungan.
Huruf d
Desa/Kampung yang masuk dalam cakupan Kecamatan
Long Apari adalah Desa Long Apari, Desa Naha Tivab,
Desa Noha Silat, Desa Tiong Bu’u, Desa Naha Buan,
Desa Long Kerioq, Desa Tiong Ohang, Desa Long
Penaneh I, Desa Long Penaneh II, dan Desa Long
Penaneh III.
Huruf e
Desa/Kampung yang masuk dalam cakupan Kecamatan
Long Pahangai adalah Desa Delang Krohong, Desa Long
Pakaq, Desa Long Lunuk, Desa Lirung Ubing, Desa
Datah Naha, Desa Long Isun, Desa Naha Aruq, Desa
Long Pahangai I, Desa Long Pahangai II, Desa Liu
Mulang, Desa Long Tuyoq, Desa Long Lunuk Baru, dan
Desa Long Pakaq Baru.",2,2013
3,II,"PEMBENTUKAN, CAKUPAN WILAYAH,
BATAS WILAYAH, DAN IBU KOTA",Kedua,Cakupan Wilayah,,,3,2," Cakupan wilayah sebagaimana dimaksud pada ayat (1) digambarkan
dalam peta wilayah yang tercantum dalam lampiran dan merupakan
bagian yang tidak terpisahkan dari Undang-Undang ini.",3-2,"Ayat (1)
Huruf a
Desa/Kampung yang masuk dalam cakupan Kecamatan
Long Bagun adalah Desa Batoq Kelo, Desa Long Bagun
Ulu, Desa Long Bagun Ilir, Desa Batu Majang, Desa Ujoh
Bilang, Desa Long Melaham, Desa Mamahak Ilir, Desa
Mamahak Ulu, Desa Rukun Damai, Desa Long Hurai,
dan Desa Long Merah.
Huruf b
Desa/Kampung yang masuk dalam cakupan Kecamatan
Long Hubung adalah Desa Long Hubung, Desa Datah
Bilang Ulu, Desa Datah Bilang Ilir, Desa Lutan, Desa
Matalibaq, Desa Wana Pariq, Desa Tri Pariq Makmur,
Desa Sirau, Desa Mamahak Teboq, dan Desa Datah
Bilang Baru.
Huruf c
Desa/Kampung yang masuk dalam cakupan Kecamatan
Laham adalah Desa Long Gelawang, Desa Danum Paroy,
Desa Muara Ratah, Desa Laham, dan Desa Nyaribungan.
Huruf d
Desa/Kampung yang masuk dalam cakupan Kecamatan
Long Apari adalah Desa Long Apari, Desa Naha Tivab,
Desa Noha Silat, Desa Tiong Bu’u, Desa Naha Buan,
Desa Long Kerioq, Desa Tiong Ohang, Desa Long
Penaneh I, Desa Long Penaneh II, dan Desa Long
Penaneh III.
Huruf e
Desa/Kampung yang masuk dalam cakupan Kecamatan
Long Pahangai adalah Desa Delang Krohong, Desa Long
Pakaq, Desa Long Lunuk, Desa Lirung Ubing, Desa
Datah Naha, Desa Long Isun, Desa Naha Aruq, Desa
Long Pahangai I, Desa Long Pahangai II, Desa Liu
Mulang, Desa Long Tuyoq, Desa Long Lunuk Baru, dan
Desa Long Pakaq Baru.
Ayat (2)
Cukup jelas.",2,Cukup jelas.,2,2013
4,II,"PEMBENTUKAN, CAKUPAN WILAYAH,
BATAS WILAYAH, DAN IBU KOTA",Kedua,Cakupan Wilayah,,,4,,"Dengan terbentuknya Kabupaten Mahakam Ulu, sebagaimana dimaksud
dalam Pasal 2, wilayah Kabupaten Kutai Barat dikurangi dengan wilayah
Kabupaten Mahakam Ulu sebagaimana dimaksud dalam Pasal 3.",4-,"Yang dimaksud wilayah Kabupaten Kutai Barat setelah
terbentuknya Kabupaten Mahakam Ulu adalah mencakup
wilayah Kecamatan Long Iram, Kecamatan Melak, Kecamatan
Barong Tongkok, Kecamatan Damai, Kecamatan Muara Lawa,
Kecamatan Muara Pahu, Kecamatan Jempang, Kecamatan
Bongan, Kecamatan Penyinggahan, Kecamatan Bentian Besar,
Kecamatan Linggang Bigung, Kecamatan Nyuatan, Kecamatan
Siluq Ngurai, Kecamatan Manor Bulatn, Kecamatan Tering, dan
Kecamatan Sekolaq Darat.",,"Yang dimaksud wilayah Kabupaten Kutai Barat setelah
terbentuknya Kabupaten Mahakam Ulu adalah mencakup
wilayah Kecamatan Long Iram, Kecamatan Melak, Kecamatan
Barong Tongkok, Kecamatan Damai, Kecamatan Muara Lawa,
Kecamatan Muara Pahu, Kecamatan Jempang, Kecamatan
Bongan, Kecamatan Penyinggahan, Kecamatan Bentian Besar,
Kecamatan Linggang Bigung, Kecamatan Nyuatan, Kecamatan
Siluq Ngurai, Kecamatan Manor Bulatn, Kecamatan Tering, dan
Kecamatan Sekolaq Darat.",2,2013
5,II,"PEMBENTUKAN, CAKUPAN WILAYAH,
BATAS WILAYAH, DAN IBU KOTA",Ketiga,Batas Wilayah,,,5,1," Kabupaten Mahakam Ulu mempunyai batas-batas wilayah:
a. sebelah utara berbatasan dengan Desa Mahak Baru Kecamatan
Sungai Boh, Desa Long Sungai Barang Kecamatan Kayan Selatan
Kabupaten Malinau Provinsi Kalimantan Utara, dan Sarawak
Malaysia;
b. sebelah timur berbatasan dengan Desa Muara Tuboq Kecamatan
Tabang Kabupaten Kutai Kartanegara;
c. sebelah selatan berbatasan dengan Desa Kelian Luar Kecamatan
Long Iram, Desa Tutung Kecamaten Linggang Bigung Kabupaten
Kutai Barat, dan Desa Tumbang Topus Kecamatan Uut Murung,
Desa Liang Nyering Kecamatan Sumber Barito Kabupaten Murung
Raya Provinsi Kalimantan Tengah; dan
d. sebelah barat berbatasan dengan Desa Kariho Kecamatan
Putussibau Utara Kabupaten Kapuas Hulu Provinsi Kalimantan
Barat.",5-1,"Ayat (1)
Cukup jelas.
Ayat (2)
Lampiran peta cakupan wilayah yang digambarkan dengan
skala 1:100.000.
Yang dimaksud dengan persetujuan pihak-pihak terkait
adalah persetujuan berupa tanda tangan Bupati Kutai Barat,
Pimpinan Dewan Perwakilan Rakyat Daerah Kabupaten Kutai
Barat, Bupati Malinau Provinsi Kalimantan Utara, Bupati
Murung Raya Provinsi Kalimantan Tengah, serta Bupati
Kapuas Hulu Provinsi Kalimantan Barat yang wilayah
cakupannya berbatasan dengan daerah otonom baru pada
peta yang diterbitkan Badan Informasi Geospasial (BIG).
Ayat (3)
Cukup jelas.",1,Cukup jelas.,2,2013
6,II,"PEMBENTUKAN, CAKUPAN WILAYAH,
BATAS WILAYAH, DAN IBU KOTA",Ketiga,Batas Wilayah,,,5,2," Batas wilayah sebagaimana dimaksud pada ayat (1) digambarkan
dalam peta wilayah lengkap dengan titik-titik koordinat dan telah
mendapatkan persetujuan dari pihak-pihak terkait yang tercantum
dalam lampiran dan merupakan bagian yang tidak terpisahkan dari
undang-undang ini.",5-2,"Ayat (1)
Cukup jelas.
Ayat (2)
Lampiran peta cakupan wilayah yang digambarkan dengan
skala 1:100.000.
Yang dimaksud dengan persetujuan pihak-pihak terkait
adalah persetujuan berupa tanda tangan Bupati Kutai Barat,
Pimpinan Dewan Perwakilan Rakyat Daerah Kabupaten Kutai
Barat, Bupati Malinau Provinsi Kalimantan Utara, Bupati
Murung Raya Provinsi Kalimantan Tengah, serta Bupati
Kapuas Hulu Provinsi Kalimantan Barat yang wilayah
cakupannya berbatasan dengan daerah otonom baru pada
peta yang diterbitkan Badan Informasi Geospasial (BIG).
Ayat (3)
Cukup jelas.",2,"Lampiran peta cakupan wilayah yang digambarkan dengan
skala 1:100.000.
Yang dimaksud dengan persetujuan pihak-pihak terkait
adalah persetujuan berupa tanda tangan Bupati Kutai Barat,
Pimpinan Dewan Perwakilan Rakyat Daerah Kabupaten Kutai
Barat, Bupati Malinau Provinsi Kalimantan Utara, Bupati
Murung Raya Provinsi Kalimantan Tengah, serta Bupati
Kapuas Hulu Provinsi Kalimantan Barat yang wilayah
cakupannya berbatasan dengan daerah otonom baru pada
peta yang diterbitkan Badan Informasi Geospasial (BIG).",2,2013
7,II,"PEMBENTUKAN, CAKUPAN WILAYAH,
BATAS WILAYAH, DAN IBU KOTA",Ketiga,Batas Wilayah,,,5,3," Penetapan batas wilayah Kabupaten Mahakam Ulu secara pasti di
lapangan sebagaimana dimaksud pada ayat (1) dan ayat (2),
ditetapkan oleh Menteri Dalam Negeri paling lambat 5 (lima) tahun
sejak peresmian Kabupaten Mahakam Ulu.",5-3,"Ayat (1)
Cukup jelas.
Ayat (2)
Lampiran peta cakupan wilayah yang digambarkan dengan
skala 1:100.000.
Yang dimaksud dengan persetujuan pihak-pihak terkait
adalah persetujuan berupa tanda tangan Bupati Kutai Barat,
Pimpinan Dewan Perwakilan Rakyat Daerah Kabupaten Kutai
Barat, Bupati Malinau Provinsi Kalimantan Utara, Bupati
Murung Raya Provinsi Kalimantan Tengah, serta Bupati
Kapuas Hulu Provinsi Kalimantan Barat yang wilayah
cakupannya berbatasan dengan daerah otonom baru pada
peta yang diterbitkan Badan Informasi Geospasial (BIG).
Ayat (3)
Cukup jelas.",3,Cukup jelas.,2,2013
8,II,"PEMBENTUKAN, CAKUPAN WILAYAH,
BATAS WILAYAH, DAN IBU KOTA",Ketiga,Batas Wilayah,,,6,1," Dengan terbentuknya Kabupaten Mahakam Ulu sebagaimana dimaksud
dalam Pasal 2, Pemerintah Kabupaten Mahakam Ulu menetapkan
Rencana Tata Ruang Wilayah Kabupaten Mahakam Ulu sesuai dengan
peraturan perundang-undangan.",6-1,"Ayat (1)
Cukup jelas.
Ayat (2)
Dalam rangka pengembangan Kabupaten Mahakam Ulu
khususnya guna perencanaan dan penyelenggaraan
pemerintahan, pelaksanaan pembangunan dan pelayanan
masyarakat pada masa yang akan datang, serta
pengembangan sarana dan prasarana pemerintahan,
pembangunan dan kemasyarakatan, diperlukan adanya
kesatuan perencanaan pembangunan. Untuk itu Rencana
Tata Ruang Wilayah Kabupaten Mahakam Ulu harus disusun
secara serasi dan terpadu dengan Rencana Tata Ruang
Wilayah Nasional, Provinsi, dan Kabupaten/Kota.",1,Cukup jelas.,2,2013
9,II,"PEMBENTUKAN, CAKUPAN WILAYAH,
BATAS WILAYAH, DAN IBU KOTA",Ketiga,Batas Wilayah,,,6,2," Penetapan Rencana Tata Ruang Wilayah Kabupaten Mahakam Ulu
sebagaimana dimaksud pada ayat (1) dilakukan sesuai dengan Rencana
Tata Ruang Wilayah Nasional dan Rencana Tata Ruang Wilayah Provinsi
Kalimantan Timur serta memperhatikan Rencana Tata Ruang Wilayah
kabupaten/kota di sekitarnya.",6-2,"Ayat (1)
Cukup jelas.
Ayat (2)
Dalam rangka pengembangan Kabupaten Mahakam Ulu
khususnya guna perencanaan dan penyelenggaraan
pemerintahan, pelaksanaan pembangunan dan pelayanan
masyarakat pada masa yang akan datang, serta
pengembangan sarana dan prasarana pemerintahan,
pembangunan dan kemasyarakatan, diperlukan adanya
kesatuan perencanaan pembangunan. Untuk itu Rencana
Tata Ruang Wilayah Kabupaten Mahakam Ulu harus disusun
secara serasi dan terpadu dengan Rencana Tata Ruang
Wilayah Nasional, Provinsi, dan Kabupaten/Kota.",2,"Dalam rangka pengembangan Kabupaten Mahakam Ulu
khususnya guna perencanaan dan penyelenggaraan
pemerintahan, pelaksanaan pembangunan dan pelayanan
masyarakat pada masa yang akan datang, serta
pengembangan sarana dan prasarana pemerintahan,
pembangunan dan kemasyarakatan, diperlukan adanya
kesatuan perencanaan pembangunan. Untuk itu Rencana
Tata Ruang Wilayah Kabupaten Mahakam Ulu harus disusun
secara serasi dan terpadu dengan Rencana Tata Ruang
Wilayah Nasional, Provinsi, dan Kabupaten/Kota.",2,2013
